content,date
Yoseob got it instantly,2019-10-04 14:44:02
"2, 4, 5, 6, 8 and repeat",2019-10-03 03:37:50
I do it with Milo or coffee instead,2019-09-21 11:14:23
I like the iron man,2019-09-12 08:51:01
Might need to rewatch this drama again,2019-09-09 12:22:56
Purrfect!,2019-09-06 12:15:26
Oh I wish I can get the Doctor Strange version,2019-08-26 13:59:36
VIXX Scentist,2019-08-26 13:51:25
We're up all night to get loki,2019-08-24 04:51:29
I dont think it would be nice if spiderman is not in the mcu anymore. The Peter Parker now is tied around the avengers so I dont think the storyline can continue on the way it does now if spiderman is not in the mcu. Spiderman is home right where it belongs ã ã  geez sony its like the third (I think it is) time that a spiderman series is going to be cut...why I love spiderman,2019-08-21 03:28:56
So cute wish I could have one as my pet ã ã ,2019-08-14 10:19:22
I would say Hemsworth cuz he is my fav but I like all so nope not gonna choose,2019-08-10 11:21:27
Too broke to travel,2019-08-07 10:39:34
Miss this~,2019-08-07 09:02:16
Sounds about right,2019-08-03 12:57:09
Looks kinda like Diagon Alley,2019-07-31 03:09:32
Now I am hungry,2019-07-29 13:46:24
Powerful!,2019-07-22 14:47:28
Where have I heard the song at 1:50 from? Anyone know???,2019-07-21 14:40:40
I keep staring at V oops,2019-07-09 12:07:35
Awww the two cats sitting at the window is so cute,2019-07-02 11:31:18
Mum uses to get me these when I was young. Its pretty but kinda itchy..,2019-06-24 13:41:17
Gosh used to have tons of these lying around,2019-06-24 13:20:38
OMG! I remember always getting distracted by this whenever I am typing my homework.,2019-06-24 13:19:06
I still do that now lol,2019-06-24 13:16:26
I still kinda do actually,2019-06-24 13:13:56
And I wonder why,2019-06-19 15:34:52
My dad is like that too lol,2019-06-14 14:50:37
Some of it is actually kinda cute,2019-06-09 12:11:13
Now I need an alternate universe where Tony Stark adopts Peter Parker ã ã  Maybe need to read some fanfic on it,2019-04-23 11:53:01
Happy Birthday!,2019-04-23 04:02:45
Somehow it sounds like she is practicing for a drama or something. It sounds so proper.,2019-04-22 15:50:55
Too cute~,2019-03-24 16:27:32
Okay,2019-03-21 11:58:07
"Books
Coffee
Dogs",2019-03-02 10:52:33
OMG! I used to watch this everyday after primary school! The memories!,2019-02-22 09:16:53
Bdaman and duel masters used to be one of my favourite shows,2019-02-22 09:10:54
Lol,2019-01-09 11:06:20
4 & 7,2019-01-08 10:49:06
Eunwoo~,2018-12-20 11:13:58
Used to play this a ton during prinary school,2018-12-18 05:31:24
Its like watching a drama at the end,2018-11-22 13:35:38
Still prefer the instrumentals playing in the background,2018-10-23 23:41:16
Yes right after my bday!,2018-09-04 14:45:08
Really? Never knew it?,2018-08-21 12:59:01
WOW!,2018-08-19 10:34:37
VIXX Hongbin,2018-08-12 00:51:20
Now lets hope they come true in the next film,2018-08-08 09:02:36
Cats & coffee or maybe superhero films,2018-06-18 13:09:01
Ice bear~,2018-06-18 02:48:54
Used to see this around my house too haha,2018-06-17 22:04:28
LOL,2018-06-09 12:40:01
Sigh....,2018-05-17 16:10:56
I can't wait to see this show!,2018-05-14 09:59:49
Happy Birthday ððð,2018-05-10 02:23:36
Black Panther,2018-04-30 09:05:37
Love 020 music and Jiang Chen is perfect! I just finished rewatching both shows,2018-04-22 10:00:22
O.O Black Panther is my favourite currently,2018-04-04 09:42:16
The 3rd and 4th is my favourite out of all of them~,2018-04-03 11:43:26
Pretty sure the answer is 96,2018-03-23 07:14:24
I got VIXX Hongbin~,2018-03-16 15:46:23
A Korean Odyssey..Not bad actually,2018-03-04 13:48:16
"Can't choose between Ji Chang Wook, Lee Minho and Song Joong Ki",2018-02-26 13:08:13
Haha lol they always say that but I have no idea why,2018-02-15 08:05:35
I kinda miss playing the trumpet,2018-01-06 12:50:44
I think it would be Safri Duo - Played a live & Robert Miles - Children,2017-12-06 13:21:08
I love this show so much~,2017-12-02 14:41:47
http://sg.asia-city.com/events/news/get-your-adrenaline-pumping-singapore-largest-carnival,2017-11-24 12:16:59
"171118 VIXX Ken Instagram Live
https://youtu.be/ELT8cMnmJ_4",2017-11-18 14:00:32
"171118 VIXX Ken Instagram Live
https://youtu.be/ELT8cMnmJ_4",2017-11-18 13:58:03
I love this show so much!,2017-11-14 11:53:22
I always think of Shrek when this song comes on,2017-10-16 13:48:05
A lot of these songs brings back so much memories of coming home from primary school and jamming out to these songs at home~,2017-08-25 16:11:55
"I only knew them cuz my mum keeps playing their cd at home when I was younger, and also it keeps coming out on the radio...gosh this brings back nostalgia",2017-08-25 16:06:50
OMG!!!! I remember being so obsessed about them in primary school! This brings back so many memories especially watching the ones where they all starred in various drama,2017-08-15 14:09:15
Yay! I got Hyungsik^^,2017-06-02 05:55:15
I admit I do tend to get lost in my own world alot,2017-05-29 14:44:24
So true~,2017-05-29 14:38:05
I really hope we maintains it for 8 hrs! VIXX HWAITING! STARLIGHTS HWAITING! We can do it!,2017-05-21 16:43:33
"I realise I havent posted anything here in a long time, but please vote for VIXX on MCountdown!!! Please please tell people to vote for vixx on mcountdown!",2017-05-21 16:14:17
Its hurts when you sneeze too,2017-05-21 02:37:49
This is happening again...,2017-05-21 02:37:17
I saw Park Bogum and Park Hyungsik at the same time lol,2017-05-18 05:38:01
I guess I got to wait longer then...,2017-04-27 05:17:11
You know what's weird? Its that I can't seem to remember anything before the age of 13. It's weird isn't it?,2017-04-24 06:45:49
Kyle said my name!! *faints*,2017-04-22 02:49:17
Wisdom?? Okie..weird..,2017-04-20 14:00:15
Ikr but sticking one leg out is still the perfect temperature for some unknown reason haha,2017-04-18 09:08:06
http://serviceapi.nmv.naver.com/flash/convertIframeTag.nhn?vid=D00CA3B66143D8650F43D7A4825F0884732D&outKey=V12701ddea0f966d1ed067028d18da4eec76f553ea043b696a4f37028d18da4eec76f&width=544&height=306,2017-04-17 14:28:06
Most of it not all,2017-04-17 08:24:03
I sometimes sit like Leo when there is no one sitting in the chair a row below me haha,2017-04-10 14:29:22
Not that house thing the bottom right though,2017-03-20 02:51:31
Now I won't get stuck on the stairs when I am coming down,2017-03-14 13:35:34
Have the same cravings again today ã ã ,2017-03-05 08:38:49
Watching this made me cry ã _ã ,2017-02-06 12:52:47
The way it walks is so cute~,2017-01-16 09:58:38
I still remember this~ The dog is still on my bed  haha @[100000154615735:2048:Lulu Suruthi],2016-12-23 03:34:18
Maybe I should try watching this drama. It seems nice.,2016-12-17 15:33:26
OMG! Can't believe I got it on the first number,2016-12-17 15:31:13
I got this tune that is always stuck in my head. All I know is that the song was sang by my primary school teacher ms marie I think and it was during teacher's day or children's day I can't really remember. Anyone knows the song title or the lyrics of the song?? ã _ã ,2016-12-12 09:43:21
Why is this happening again....its like all guys are the same,2016-12-07 04:05:16
OMG! Need to get this !!!,2016-12-02 15:23:48
I really want this so so badly but I will be broke...,2016-12-01 08:53:34
Happy Birthday Adibah^^,2016-11-14 23:31:25
OMG!!,2016-11-05 15:06:43
I counted 8,2016-10-27 09:02:09
I seriously wonder if they will ever release this music...,2016-10-26 09:57:41
