"Timestamp","Tweets","Status"
"2019-10-18 03:39:18","b'\xef\xbb\xbfDemocrats are now the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant corruption. The Republican Party is the party of the American Worker, the American Family, and the American Dream! #KAG2020 https://t.co/qXB198T5cM'","Tweet"
"2019-10-18 03:06:57","b'\xef\xbb\xbfTonight, we forcefully condemn the blatant corruption of the Democrat Party, the Fake News Media, and the rogue bureaucrats of the Deep State. The only message these radicals will understand is a crushing defeat on November 3, 2020! #KAG2020 https://t.co/QW1Rk99O4b'","Tweet"
"2019-10-18 02:57:07","b'\xef\xbb\xbfThe radical left tolerates no dissent, it permits no opposition, it accepts no compromise, and it has absolutely no respect for the will of the American People. They are coming after me, because I am fighting for YOU! #TrumpRallyDallas #KAG2020 https://t.co/OthKwS1bud'","Tweet"
"2019-10-18 02:26:39","b'\xef\xbb\xbfThank you Dallas, Texas - I love you! #TrumpRallyDallas #KAG2020 https://t.co/meWpesDYeM'","Tweet"
"2019-10-18 00:21:37","b'\xef\xbb\xbfJust arrived at the American Airlines Center in Dallas, Texas. Will be out shortly as we wait for more of you to get in! #TRUMP2020 https://t.co/TB2baAFoBK'","Tweet"
"2019-10-17 23:22:43","b'\xef\xbb\xbfSee you soon Dallas, Texas! https://t.co/Sg6xtp1vqQ'","Tweet"
"2019-10-17 23:20:47","b'\xef\xbb\xbfDallas, Texas crowd is getting ready for @realDonaldTrump with a little YMCA \xe2\x80\xbc\xef\xb8\x8f https://t.co/9muhNZqGvZ'","RT"
"2019-10-17 18:13:15","b'\xef\xbb\xbfThis is a great day for civilization. I am proud of the United States for sticking by me in following a necessary, but somewhat unconventional, path. People have been trying to make this \xe2\x80\x9cDeal\xe2\x80\x9d for many years. Millions of lives will be saved. Congratulations to ALL!'","Tweet"
"2019-10-17 18:03:25","b'\xef\xbb\xbfThis deal could NEVER have been made 3 days ago. There needed to be some \xe2\x80\x9ctough\xe2\x80\x9d love in order to get it done. Great for everybody. Proud of all!'","Tweet"
"2019-10-17 17:29:37","b'\xef\xbb\xbfGreat news out of Turkey. News Conference shortly with @VP and @SecPompeo. Thank you to @RTErdogan. Millions of lives will be saved!'","Tweet"
"2019-10-17 17:02:43","b'\xef\xbb\xbfThis number, based on the Economy &amp; how well our Country is doing, would potentially be 75% if not for the Fake News &amp; Phony Witch Hunt. 95% Approval Rating in the Republican Party! https://t.co/GFLxcNJOkk'","Tweet"
"2019-10-17 15:09:09","b'\xef\xbb\xbfHouse Democrats are engaged in \xe2\x80\x9cSoviet style\xe2\x80\x9d tactics in their effort to attack @realDonaldTrump.\n\nSo true, @SteveScalise!\nhttps://t.co/lNT54cbchT'","RT"
"2019-10-17 15:08:35","b'\xef\xbb\xbfVoters are rejecting the Dems\xe2\x80\x99 baseless obstruction &amp; socialist agenda, and they\xe2\x80\x99re making their voices heard loud &amp; clear. Support for @realDonaldTrump is only growing!\n \nThanks to @GOPChairwoman, @DonaldJTrumpJr, @TommyHicksGOP, @parscale &amp; many others!\n\nhttps://t.co/TUefS3pRVJ'","RT"
"2019-10-17 15:07:46","b'\xef\xbb\xbfAs the Witch Hunt continues! https://t.co/klvvwSXq7M'","Tweet"
"2019-10-17 13:14:49","b'\xef\xbb\xbfThe Greatest Witch Hunt in American History! https://t.co/sPnloffJMT'","Tweet"
"2019-10-17 12:59:25","b'\xef\xbb\xbfYears of BAD GOVERNMENT, such a sorry thing to see! https://t.co/H1r2Be2YS6'","RT"
"2019-10-17 12:58:53","b'\xef\xbb\xbf\xe2\x80\x9cAbout 500,000 human beings were killed in Syria while Barack Obama was president &amp; leading for a \xe2\x80\x9cpolitical settlement\xe2\x80\x9d to that civil war. Media has been more outraged in the last 72 hours over our Syria policy than they were at any point during 7 years of slaughter.\xe2\x80\x9d BuckSexton'","RT"
"2019-10-17 12:58:35","b'\xef\xbb\xbfI am the only person who can fight for the safety of our troops &amp; bring them home from the ridiculous &amp; costly Endless Wars, and be scorned. Democrats always liked that position, until I took it. Democrats always liked Walls, until I built them. Do you see what\xe2\x80\x99s happening here?'","RT"
"2019-10-17 12:54:55","b'\xef\xbb\xbfMy warmest condolences to the family and many friends of Congressman Elijah Cummings. I got to see first hand the strength, passion and wisdom of this highly respected political leader. His work and voice on so many fronts will be very hard, if not impossible, to replace!'","Tweet"
"2019-10-17 12:39:03","b'\xef\xbb\xbfTHANK YOU, WORKING HARD! https://t.co/sNUppjB4Xm'","RT"
"2019-10-17 12:39:00","b'\xef\xbb\xbfFAKE NEWS! https://t.co/ta8ii8yetP'","RT"
"2019-10-17 12:38:27","b'\xef\xbb\xbfNancy Pelosi needs help fast! There is either something wrong with her \xe2\x80\x9cupstairs,\xe2\x80\x9d or she just plain doesn\xe2\x80\x99t like our great Country. She had a total meltdown in the White House today. It was very sad to watch. Pray for her, she is a very sick person!'","RT"
"2019-10-17 11:54:12","b'\xef\xbb\xbfThis is the real story. Thank you Jim! https://t.co/VqJrsUJdiX'","Tweet"
"2019-10-17 04:41:30","b'\xef\xbb\xbfWashington Democrats have been engaged in a three-year-long impeachment parade in search of a rationale. Prominent House Democrats were promising impeachment at the very beginning of this presidency. Fairness and due process are not their objectives here.'","RT"
"2019-10-17 04:41:26","b'\xef\xbb\xbfAlready, House Democrats\xe2\x80\x99 impeachment \xe2\x80\x9cinquiry\xe2\x80\x9d is violating norms and precedent. They are denying Republicans and President Trump the same rights that Democrats and President Clinton received during those impeachment proceedings.'","RT"
