"URL","Title","Visit Count","Last Accessed Date-Time (GMT)","Duration of Last Accessed (in seconds)"
"https://github.com/nathanlepori/sit-no-preference/tree/master/src","sit-no-preference/src at master · nathanlepori/sit-no-preference","14","2019-10-14 12:10:07","0"
"https://github.com/nathanlepori/sit-no-preference/tree/master/src/demo","sit-no-preference/src/demo at master · nathanlepori/sit-no-preference","6","2019-10-14 12:09:27","5"
"https://github.com/nathanlepori/sit-no-preference/tree/master/src/browser_history","sit-no-preference/src/browser_history at master · nathanlepori/sit-no-preference","2","2019-10-14 12:09:19","0"
"https://github.com/nathanlepori/sit-no-preference","nathanlepori/sit-no-preference","21","2019-10-14 12:09:14","0"
"https://www.jetbrains.com/help/pycharm/commit-and-push-changes.html","Commit and push changes - Help | PyCharm","1","2019-10-14 12:08:27","2"
"https://www.google.com/search?newwindow=1&biw=1920&bih=937&ei=XPSjXZigJ4Piz7sP35uo8AI&q=github+not+updating+after+push+pycharm&oq=github+not+updating+after+push+pycharm&gs_l=psy-ab.3...88250.92447..92659...0.4..0.86.1267.25......0....1..gws-wiz.......0i71j0i273j0i67j0i131i67j0i131j0j0i22i30j0i8i67j33i21.sd7K_tDYJfc&ved=0ahUKEwiYvqr775rlAhUD8XMBHd8NCi4Q4dUDCAs&uact=5","github not updating after push pycharm - Google Search","3","2019-10-14 12:08:25","1"
"https://www.jetbrains.com/help/idea/commit-and-push-changes.html","Commit and push changes - Help | IntelliJ IDEA","1","2019-10-14 12:08:08","1"
"https://www.jetbrains.com/help/pycharm-edu/commit-and-push-changes.html","Commit and push changes - Help | PyCharm Edu","1","2019-10-14 12:06:54","1"
"https://www.google.com/search?newwindow=1&q=commit+file+to+github+in+pycharm&spell=1&sa=X&ved=0ahUKEwia2Mz675rlAhVy7HMBHQSPCLIQBQguKAA&biw=1920&bih=937","commit file to github in pycharm - Google Search","3","2019-10-14 12:06:52","3"
"https://www.google.com/search?newwindow=1&ei=ie6jXfH-D9b69QOF_b-YCA&q=commit+file+to+github+on+pycharm&oq=commit+file+to+github+on+pycharm&gs_l=psy-ab.3..0i22i30.1483612.1488966..1489151...3.4..0.75.1820.35......0....1..gws-wiz.......0i71j0i273j0j0i131j0i67j33i22i29i30j33i10.oMbcehobB2s&ved=0ahUKEwix55e06prlAhVWfX0KHYX-D4MQ4dUDCAs&uact=5","commit file to github on pycharm - Google Search","3","2019-10-14 12:06:51","0"
"https://github.com/breakbrick?tab=repositories","Your Repositories","9","2019-10-14 12:06:36","0"
"https://github.com/breakbrick","breakbrick","7","2019-10-14 12:06:35","0"
"https://github.com/breakbrick/sit-no-preference","breakbrick/sit-no-preference","5","2019-10-14 12:06:24","1"
"https://www.jetbrains.com/help/pycharm/importing-project-from-existing-source-code.html","Importing Project from Existing Source Code - Help | PyCharm","1","2019-10-14 11:58:55","0"
"https://www.google.com/search?q=import+project+in+pycharm&oq=import+project+in+pycharm&aqs=chrome..69i57j0l5.3776j0j1&sourceid=chrome&ie=UTF-8","import project in pycharm - Google Search","3","2019-10-14 11:58:54","166"
"https://github.com/github","GitHub","4","2019-10-14 11:54:29","0"
"https://github.com/nathanlepori/sit-no-preference/tree/master/venv","sit-no-preference/venv at master · nathanlepori/sit-no-preference","8","2019-10-14 11:46:35","52"
"https://www.jetbrains.com/help/pycharm/manage-projects-hosted-on-github.html","Manage projects hosted on GitHub - Help | PyCharm","1","2019-10-14 11:42:03","0"
"https://www.google.com/search?newwindow=1&source=hp&ei=Nu6jXf_TDrODrtoPmZ6QsA4&q=pycharm+github&oq=pycharm+git&gs_l=psy-ab.3.1.0l10.79150.80673..82158...0.0..0.37.358.11......0....1..gws-wiz.......0i131.H3Ixpy8NKgU","pycharm github - Google Search","3","2019-10-14 11:42:01","195"
"https://github.com/nathanlepori/sit-no-preference/graphs/contributors","Contributors to nathanlepori/sit-no-preference","2","2019-10-14 11:41:31","0"
"https://github.com/nathanlepori/sit-no-preference/blob/master/src/main.py","sit-no-preference/main.py at master · nathanlepori/sit-no-preference","2","2019-10-14 11:41:05","0"
